,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
0,ON,Toronto,2 Hyde Avenue,Keelesdale-Eglinton West,2599999.0,7,4,2500-3000,11
1,ON,Toronto,25 Edgewood Crescent,Rosedale-Moore Park,2485000.0,4,3,2000-2500,7
2,ON,Toronto,101 Cornerbrook Drive,Parkwoods-Donalda,899000.0,3,2,0-0,5
3,ON,Toronto,382 Lansdowne Avenue,Dufferin Grove,999000.0,3+1,2,,6
4,ON,Toronto,112 Beverley Street,Kensington-Chinatown,1999000.0,6+2,6,2500-3000,14
5,ON,Toronto,52 Macdonald Street,Mimico,1699000.0,4+3,5,,12
6,ON,Toronto,1832 Dufferin Street,Corso Italia-Davenport,950000.0,3+1,3,,7
7,ON,Toronto,91 Trumpeter Street,Rouge E11,999000.0,4+1,4,1500-2000,9
8,ON,Toronto,180 Harvie Avenue,Corso Italia-Davenport,1488000.0,3,6,,9
9,ON,Toronto,27 East York Avenue,Broadview North,999000.0,3,3,1500-2000,6
10,ON,Toronto,27 East York Avenue,Broadview North,999000.0,3,3,1500-2000,6
11,ON,Toronto,321 St Clair Avenue E,Rosedale-Moore Park,3599000.0,8+8,7,,23
12,ON,Toronto,8 Frater Avenue,East York,1999900.0,3,4,0-0,7
13,ON,Toronto,118 Margueretta Street,Dufferin Grove,1100000.0,2+2,2,2000-2500,6
14,ON,Toronto,82 Durie Street,High Park-Swansea,1298000.0,3+1,2,,6
15,ON,Toronto,143 Fulton Avenue,Playter Estates-Danforth,1299900.0,3+1,4,1500-2000,8
16,ON,Toronto,31 Tisdale Avenue,Victoria Village,1399000.0,6+1,2,,9
17,ON,Toronto,915 Ossington Avenue,Dovercourt-Wallace Emerson-Junction,1449000.0,5,3,,8
18,ON,Toronto,20 Connable Drive,Casa Loma,3190000.0,3,4,2500-3000,7
19,ON,Toronto,48 Ascot Avenue,Corso Italia-Davenport,999888.0,3,2,,5
20,ON,Toronto,735 Indian Road,High Park North,1499000.0,3,2,,5
21,ON,Toronto,158 Bastedo Avenue,Woodbine Corridor,799000.0,2,1,,3
22,ON,Toronto,87 Gloucester Street,Church-Yonge Corridor,3995000.0,3,4,2500-3000,7
23,ON,Toronto,151 Bastedo Avenue,Woodbine Corridor,999000.0,2+1,2,,5
24,ON,Toronto,53 Symington Avenue,Dovercourt-Wallace Emerson-Junction,990000.0,3,3,,6
25,ON,Toronto,21 Geoffrey Street,Roncesvalles,1650000.0,4+1,3,0-0,8
26,ON,Toronto,89 Mcclure Crescent,Malvern,799000.0,4,2,,6
27,ON,Toronto,22-17 Powerhouse Street,Dovercourt-Wallace Emerson-Junction,1199900.0,3+1,3,1500-2000,7
28,ON,Toronto,88 Beaconsfield Avenue,Little Portugal,2998000.0,8+1,6,,15
29,ON,Toronto,51 Kenneth Avenue,High Park North,1450000.0,4,2,1500-2000,6
30,ON,Toronto,17 Sonnet Court,Rustic,899900.0,4,2,,6
31,ON,Toronto,160 Cedric Avenue,Oakwood-Vaughan,1499000.0,3+1,4,,8
32,ON,Toronto,157 Bob Yuill Drive,Humberlea-Pelmo Park W5,999000.0,3,3,,6
33,ON,Toronto,190 Bedford Park Avenue,Lawrence Park North,1788000.0,3,3,,6
34,ON,Toronto,558 Willard Avenue,Runnymede-Bloor West Village,2099000.0,4+2,3,2000-2500,9
35,ON,Toronto,375 Woodfield Road,Greenwood-Coxwell,1099000.0,3+1,2,,6
36,ON,Toronto,107 Bertmount Avenue,South Riverdale,1388000.0,3,3,,6
37,ON,Toronto,302 Mclevin Avenue,Malvern,725000.0,3,2,,5
38,ON,Toronto,74 Mortimer Avenue,Broadview North,899000.0,3+1,2,,6
39,ON,Toronto,14 Earnbridge Street,Roncesvalles,1189000.0,3+1,2,2500-3000,6
40,ON,Toronto,341 Clinton Street,Palmerston-Little Italy,1199000.0,3+1,2,,6
41,ON,Toronto,90 Murellen Crescent,Victoria Village,999800.0,3+1,3,,7
42,ON,Toronto,18 Perth Avenue,Dufferin Grove,1899888.0,3,3,1500-2000,6
43,ON,Toronto,28 Tiverton Avenue,South Riverdale,1149000.0,3,2,,5
44,ON,Toronto,1399 Lansdowne Avenue,Corso Italia-Davenport,999900.0,Apts-2 To 5 Units2851 sqft,Nan,0-0,0
45,ON,Toronto,169 Beech Avenue,The Beaches,1599000.0,4+1,3,,8
46,ON,Toronto,110 Duvernet Avenue,The Beaches,1299900.0,3,3,1000-1500,6
47,ON,Toronto,14 Coxwell Avenue,Greenwood-Coxwell,1099000.0,Apts-2 To 5 Units1681 sqft,Nan,0-0,0
48,ON,Toronto,81 Glen Davis Crescent,East End-Danforth,1199900.0,3,1,,4
49,ON,Toronto,41 Norwood Terrace,East End-Danforth,699900.0,2+1,2,0-0,5
50,ON,Toronto,373 St Johns Road,Runnymede-Bloor West Village,999900.0,3,2,0-0,5
51,ON,Toronto,2476 St Clair Avenue W,Rockcliffe-Smythe,999000.0,2+1,3,,6
52,ON,Toronto,19 Krawchuk Lane,Leaside,1090000.0,3,3,1500-2000,6
53,ON,Toronto,81 Duncanwoods Drive,Humber Summit,998888.0,4+2,3,1500-2000,9
54,ON,Toronto,22 Hildenboro Square,L'Amoreaux,1450000.0,3+2,2,,7
55,ON,Toronto,25 Blackburn Street,South Riverdale,899000.0,3,1,,4
56,ON,Toronto,17 Edgeway Gate,Agincourt North,1099000.0,3+1,3,,7
57,ON,Toronto,58 Navaho Drive,Pleasant View,1199000.0,6+3,4,,13
58,ON,Toronto,156 Raponi Circle,Rouge E11,999900.0,3+2,4,1500-2000,9
59,ON,Toronto,163 Shaw Street,Palmerston-Little Italy,1499000.0,3+1,2,0-0,6
60,ON,Toronto,90 Hallam Street,Dovercourt-Wallace Emerson-Junction,1299000.0,3+1,3,,7
61,ON,Toronto,20 Dupont Street,Annex,3950000.0,2+1,5,,8
62,ON,Toronto,1410 Wilson Avenue,Downsview-Roding-CFB,849900.0,3,2,1000-1500,5
63,ON,Toronto,4 Melville Avenue,Dovercourt-Wallace Emerson-Junction,1375000.0,4,2,,6
64,ON,Toronto,135 Donlands Avenue,Danforth Village,989900.0,3,2,1000-1500,5
65,ON,Toronto,92 Willcocks Street,University,2200000.0,3,2,0-0,5
66,ON,Toronto,71 Pembroke Street,Moss Park,1995000.0,4+1,3,2500-3000,8
67,ON,Toronto,7 Robinson Street,Trinity-Bellwoods,1099999.0,3,2,0-0,5
68,ON,Toronto,239 Gracedale Boulevard,Humber Summit,1099999.0,3+2,3,,8
69,ON,Toronto,83 Hounslow Heath Road,Weston-Pellam Park,1199900.0,4+1,3,,8
70,ON,Toronto,449 Oakwood Avenue,Oakwood-Vaughan,1299000.0,2+1,3,,6
71,ON,Toronto,9 Clairtrell Road,Willowdale East,1858000.0,3,4,2000-2500,7
72,ON,Toronto,36 Futura Drive,Glenfield-Jane Heights,999000.0,3+3,2,,8
73,ON,Toronto,1409 King Street W,South Parkdale,1349000.0,7+3,3,,13
74,ON,Toronto,81 Puma Drive,L'Amoreaux,968000.0,3,4,,7
75,ON,Toronto,109 Langden Avenue,Rockcliffe-Smythe,799000.0,3,1,,4
76,ON,Toronto,29 Moorefield Drive,Rouge E10,949900.0,3,4,1000-1500,7
77,ON,Toronto,548 Hillsdale Avenue E,Mount Pleasant East,1499000.0,3,2,0-0,5
78,ON,Toronto,197 Torbarrie Road,Downsview-Roding-CFB,899900.0,3,4,1500-2000,7
79,ON,Toronto,499 Mortimer Avenue,Danforth Village-East York,1188888.0,3+1,2,,6
80,ON,Toronto,33 Ivan Nelson Drive,Westminster-Branson,1138000.0,4+1,4,,9
81,ON,Toronto,212 Scarborough Golf Clb Road,Woburn,899000.0,3,3,,6
