,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
0,ON,Toronto,216-1350 Kingston Road,Birchcliffe-Cliffside,1149000.0,2,2,900-999,4
1,ON,Toronto,403-1486 Bathurst Street,Humewood-Cedarvale,629990.0,1+1,1,600-699,3
2,ON,Toronto,99 Woody Vine Way,Bayview Village,800000.0,3+1,3,1000-1199,7
3,ON,Toronto,PH12-118 Merchants' Wharf,Waterfront Communities C8,6450000.0,3+1,5,4000-4249,9
4,ON,Toronto,TH 101-70 Annie Craig Drive,Mimico,1199000.0,2+1,3,1200-1399,6
5,ON,Toronto,1108-110 Charles Street E,Church-Yonge Corridor,888000.0,2,2,800-899,4
6,ON,Toronto,1806-290 Adelaide Street W,Waterfront Communities C1,688778.0,1,1,600-699,2
7,ON,Toronto,611-77 Harbour Square,Waterfront Communities C1,775000.0,1,1,700-799,2
8,ON,Toronto,48-331 Trudelle Street,Eglinton East,749000.0,3+1,2,1200-1399,6
9,ON,Toronto,PH10-152 St Patrick Street,Kensington-Chinatown,1495000.0,2,2,1400-1599,4
10,ON,Toronto,508-39 Jarvis Street,Moss Park,650000.0,1,1,700-799,2
11,ON,Toronto,1807-100 Harbour Street,Waterfront Communities C1,659000.0,1,1,0-499,2
12,ON,Toronto,1409-438 Richmond Street W,Waterfront Communities C1,999000.0,2,2,900-999,4
13,ON,Toronto,404-76 Shuter Street,Church-Yonge Corridor,599000.0,1+1,1,700-799,3
14,ON,Toronto,503-115 Blue Jays Way,Waterfront Communities C1,599900.0,1,1,0-499,2
15,ON,Toronto,601-115 Richmond Street E,Church-Yonge Corridor,649900.0,1,1,700-799,2
16,ON,Toronto,807-1 Concorde Place,Banbury-Don Mills,749000.0,1+1,2,1400-1599,4
17,ON,Toronto,1409-438 Richmond Street W,Waterfront Communities C1,999000.0,2,2,900-999,4
18,ON,Toronto,1409-438 Richmond Street W,Waterfront Communities C1,999000.0,2,2,900-999,4
19,ON,Toronto,97-100 Parrotta Drive,Humberlea-Pelmo Park W5,688888.0,2,2,1000-1199,4
20,ON,Toronto,1004-88 Scott Street,Church-Yonge Corridor,950000.0,1+1,1,600-699,3
21,ON,Toronto,1307-20 Joe Shuster Way,Niagara,499900.0,1,1,0-499,2
22,ON,Toronto,204-60 Bathurst Street,Niagara,650000.0,1,1,600-699,2
23,ON,Toronto,323-218 King Street E,Moss Park,624900.0,1+1,1,600-699,3
24,ON,Toronto,504-21 Markbrook Lane,Mount Olive-Silverstone-Jamestown,599000.0,2,2,1000-1199,4
25,ON,Toronto,1606-525 Adelaide Street W,Waterfront Communities C1,999900.0,3,2,1000-1199,5
26,ON,Toronto,2416-55 Harbour Square,Waterfront Communities C1,899900.0,1+1,2,1000-1199,4
27,ON,Toronto,323-30 Nelson Street,Waterfront Communities C1,999900.0,2+1,2,1200-1399,5
28,ON,Toronto,2701-50 Wellesley Street E,Church-Yonge Corridor,699900.0,1,1,0-499,2
29,ON,Toronto,UPH04-19 Avondale Avenue,Willowdale East,465000.0,–,1,0-499,1
30,ON,Toronto,2312-330 Richmond Street,Waterfront Communities C1,999000.0,2,2,700-799,4
31,ON,Toronto,1503-5500 Yonge Street,Willowdale West,788800.0,2,1,700-799,3
32,ON,Toronto,216-50 George Butchart Drive,Downsview-Roding-CFB,615000.0,1+1,2,500-599,4
33,ON,Toronto,822-85 Wood Street,Church-Yonge Corridor,929900.0,2+1,2,700-799,5
34,ON,Toronto,4004-70 Annie Craig Boulevard W,Mimico,2089000.0,2,3,1000-1199,5
35,ON,Toronto,107-2995 Keele Street,Downsview-Roding-CFB,625000.0,1+1,2,500-599,4
36,ON,Toronto,1109-30 Meadowglen Place,Woburn,599000.0,1+1,2,600-699,4
37,ON,Toronto,308-150 Leeward Glenway Way,Flemingdon Park,699900.0,4,2,1000-1199,6
38,ON,Toronto,811-50 Bruyeres Mews,Waterfront Communities C1,799900.0,2,2,800-899,4
39,ON,Toronto,709-2015 Sheppard Avenue E,Henry Farm,610000.0,1+1,1,600-699,3
40,ON,Toronto,405-5 Shady Golf Way,Flemingdon Park,479000.0,3,1,1000-1199,4
41,ON,Toronto,1208-4645 Jane Street,Black Creek,199900.0,2,1,900-999,3
42,ON,Toronto,118-50 George Butchart Drive,Downsview-Roding-CFB,609990.0,1+1,1,600-699,3
43,ON,Toronto,1907-50 Ann O'reilly Road,Henry Farm,699000.0,1,1,500-599,2
44,ON,Toronto,1603-70 Distillery Lane,Waterfront Communities C8,899900.0,2,2,800-899,4
45,ON,Toronto,1107-75 Wynford Heights Crescent,Banbury-Don Mills,899000.0,2+1,2,1400-1599,5
46,ON,Toronto,55 Edward Horton Crescent,Islington-City Centre West,1099000.0,3,3,1600-1799,6
47,ON,Toronto,93 Mcgill Street,Church-Yonge Corridor,988000.0,2,2,800-899,4
48,ON,Toronto,2607-228 Bonis Avenue,Tam O'Shanter-Sullivan,529900.0,1,2,1000-1199,3
