,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
0,ON,Toronto,825 Shaw Street,Dovercourt-Wallace Emerson-Junction,2499000.0,3+2,4,,9
1,ON,Toronto,102 Edenbridge Drive,Edenbridge-Humber Valley,2795000.0,4+2,6,3000-3500,12
2,ON,Toronto,#9-390 Wellesley Street E,Cabbagetown-South St. James Town,1999000.0,2+1,3,1500-2000,6
3,ON,Toronto,41 Farrell Avenue,Newtonbrook West,1499000.0,3+2,2,,7
4,ON,Toronto,65 Madras Crescent,Woburn,1099000.0,3,2,0-0,5
5,ON,Toronto,203 Raleigh Avenue,Clairlea-Birchmount,749900.0,3+2,4,1500-2000,9
6,ON,Toronto,9 John Tabor Trail,Malvern,1199999.0,3,3,,6
7,ON,Toronto,203 Raleigh Avenue,Clairlea-Birchmount,749900.0,3+2,4,1500-2000,9
8,ON,Toronto,65 Madras Crescent,Woburn,1099000.0,3,2,0-0,5
9,ON,Toronto,27 Bournemouth Road,Princess-Rosethorn,1980000.0,4+1,3,1500-2000,8
10,ON,Toronto,125 Highland Crescent,Bridle Path-Sunnybrook-York Mills,4790000.0,4+2,4,,10
11,ON,Toronto,41 Cornerbrook Drive,Parkwoods-Donalda,1800000.0,2+1,4,0-0,7
12,ON,Toronto,157 Cottonwood Drive,Banbury-Don Mills,2588000.0,5+3,3,,11
13,ON,Toronto,1074 Dupont Street,Dovercourt-Wallace Emerson-Junction,1169000.0,4,2,,6
14,ON,Toronto,67 Montgomery Road,Kingsway South,1799000.0,4,3,,7
15,ON,Toronto,86 Weybourne Crescent,Lawrence Park South,9995000.0,9+2,5,5000+,16
16,ON,Toronto,26 Kirk Bradden Road W,Stonegate-Queensway,2189000.0,4+1,4,,9
17,ON,Toronto,1733 Dufferin Street,Oakwood-Vaughan,1799000.0,4+2,3,,9
18,ON,Toronto,271 Waterloo Avenue,Bathurst Manor,1299000.0,4+4,4,,12
19,ON,Toronto,87 Abbott Avenue,High Park North,1880000.0,4,2,,6
20,ON,Toronto,138 Marion Street,Roncesvalles,1788000.0,4+1,4,,9
21,ON,Toronto,188 Martin Grove Road,Islington-City Centre West,3398000.0,4+2,6,,12
22,ON,Toronto,27 Statesman Square,Agincourt North,1288000.0,4,3,2000-2500,7
23,ON,Toronto,98 Aileen Avenue,Keelesdale-Eglinton West,1399000.0,3,3,,6
24,ON,Toronto,38 Russell Hill Road,Casa Loma,3880000.0,4+1,3,,8
25,ON,Toronto,11 Hanson Road,Oakwood-Vaughan,1789000.0,8+2,5,,15
26,ON,Toronto,159 Evelyn Avenue,High Park North,2399000.0,4+1,4,,9
27,ON,Toronto,45 Hunter Street,Blake-Jones,999900.0,3,2,1500-2000,5
28,ON,Toronto,1104 Glengrove Ave Avenue,Yorkdale-Glen Park,1104000.0,4+2,2,,8
29,ON,Toronto,8 Fairglen Crescent,Humberlea-Pelmo Park W4,849000.0,2+1,2,,5
30,ON,Toronto,25 Wallasey Avenue,Humberlea-Pelmo Park W5,899000.0,4,2,,6
31,ON,Toronto,46 Poplar Avenue,Islington-City Centre West,2687000.0,4+2,4,,10
32,ON,Toronto,27 Sunnydale Drive,Stonegate-Queensway,2279000.0,4,4,,8
33,ON,Toronto,7 Chandler Drive,Woburn,1100786.0,3+3,3,1000-1500,9
34,ON,Toronto,74 Rotary Drive,Rouge E11,888800.0,3+1,3,1500-2000,7
35,ON,Toronto,40 Addison Crescent,Banbury-Don Mills,4388000.0,4+1,7,3500-5000,12
36,ON,Toronto,103 Braemar Avenue,Yonge-Eglinton,2995000.0,6+3,3,,12
37,ON,Toronto,106 Mount Olive Drive,Mount Olive-Silverstone-Jamestown,1299000.0,4+1,3,,8
38,ON,Toronto,752 Crawford Street,Dovercourt-Wallace Emerson-Junction,1699000.0,4,2,,6
39,ON,Toronto,234 Willard Avenue,High Park-Swansea,1399000.0,4,2,,6
40,ON,Toronto,2764 St. Clair Avenue E,O'Connor-Parkview,899900.0,2,2,,4
41,ON,Toronto,210 Woodville Avenue,East York,1799000.0,3+1,4,,8
42,ON,Toronto,7 Chappel Hill Road,Downsview-Roding-CFB,1899999.0,3+2,4,1500-2000,9
43,ON,Toronto,723 Dupont Street,Dovercourt-Wallace Emerson-Junction,1549000.0,4,3,2000-2500,7
44,ON,Toronto,6 Brenton Street,O'Connor-Parkview,1499000.0,5+2,3,,10
45,ON,Toronto,125 Torrens Avenue,East York,1199000.0,3+1,2,1000-1500,6
46,ON,Toronto,434 Glengarry Avenue,Bedford Park-Nortown,4295000.0,4+1,7,,12
47,ON,Toronto,48 Newell Court,Edenbridge-Humber Valley,1499999.0,4,2,2000-2500,6
48,ON,Toronto,35 Bowerbank Drive,Newtonbrook East,1288000.0,4+2,4,,10
49,ON,Toronto,76 Poplar Plains Crescent,Casa Loma,6800000.0,4+1,5,3500-5000,10
50,ON,Toronto,166 Kingsview Boulevard,Kingsview Village-The Westway,999900.0,3,2,,5
51,ON,Toronto,115 Saturn Road,Etobicoke West Mall,1200000.0,4,2,1500-2000,6
52,ON,Toronto,47 Alanmeade Crescent,Islington-City Centre West,1500000.0,3,2,,5
53,ON,Toronto,303 Wychwood Avenue,Humewood-Cedarvale,1399000.0,3,2,,5
54,ON,Toronto,16 Edgecroft Road,Stonegate-Queensway,3190000.0,4,5,3000-3500,9
55,ON,Toronto,124 Thompson Avenue,Stonegate-Queensway,2498000.0,2+1,2,,5
56,ON,Toronto,645 Logan Avenue,North Riverdale,2299000.0,4+1,3,,8
57,ON,Toronto,222 Hillsdale Avenue E,Mount Pleasant West,1895000.0,3+1,3,,7
58,ON,Toronto,5 Whitehall Road,Rosedale-Moore Park,2695000.0,3,2,1000-1500,5
59,ON,Toronto,22 Palace Arch Drive,Princess-Rosethorn,3898000.0,4,6,3500-5000,10
60,ON,Toronto,26 Criscoe Street,Rockcliffe-Smythe,899000.0,2+1,2,,5
